Household_ID,Year,Month,Electricity_Consumption_kWh,LPG_Consumption_kg,Petrol_Consumption_L,Diesel_Consumption_L,CNG_Consumption_kg,Firewood_kg,Kerosene_Liters,Backup_Generator_Diesel_Liters,AC_Tonnage,AC_Hours_per_day,Fridge_Count,Refrigerator_Star_Rating,WashingMachine_Usage_per_week,Petrol_Vehicle_CC,No_of_Petrol_Vehicles,Diesel_Vehicle_CC,No_of_Diesel_Vehicles,No_of_LPG_Cylinders,Carbon_Emission_from_Electricity,Carbon_Emission_from_LPG,Carbon_Emission_from_Petrol,Carbon_Emission_from_Diesel,Carbon_Emission_from_CNG,Total_Carbon_Emission
H0001,2023,4,555.644562531695,8.70436428083708,32.566570069325,10.8372353476378,20.6156595941138,40.5947522770778,2.01157179623367,9.87899507642472,1,9.16,1,4,8,1800,1,1500,1,1,455.62854127599,25.9390055568945,75.2287768601408,29.0437907316694,41.2313191882276,627.071433612922
H0002,2023,12,677.615064741963,3.21844095434582,56.4245721435972,24.9574952927883,3.76851968741315,31.6934255902023,7.84616986743363,9.13305581736167,0,6.85,0,4,4,1000,1,2500,2,2,555.64435308841,9.59095404395053,130.34076165171,66.8860873846727,7.5370393748263,769.999195543569
H0003,2022,8,428.218926652487,21.0955039960481,52.4194333807032,17.7471225133763,15.8468145513814,14.1940767959348,14.8211502060853,1.54895730159031,1,7.56,0,3,1,0,0,0,0,2,351.139519855039,62.8646019082234,121.088891109424,47.5622883358486,31.6936291027627,614.348930311298
H0004,2023,11,317.409800416203,17.3980105581454,19.2936189549617,29.1970775085726,7.02685695855805,49.4391080938438,7.98155234274364,7.42965636048831,1,5.57,3,5,5,1500,2,2500,1,2,260.276036341286,51.8460714632732,44.5682597859614,78.2481677229746,14.0537139171161,448.992249230612
H0005,2022,2,756.900487208828,27.0515363391641,59.1433479172529,15.2028730353328,24.0700541644508,5.23795183234471,0.314395538556851,8.93732536373931,1,6.09,0,1,1,1800,2,0,0,2,620.658399511239,80.613578290709,136.621133688854,40.7436997346918,48.1401083289016,926.776919554396
H0006,2022,7,199.950408100086,29.412830011654,24.8315255002243,19.9878266361545,18.2163426087998,49.9942139361635,6.53189146684966,8.62228113300899,1,3.75,1,1,3,1800,1,1500,2,1,163.959334642071,87.650233434729,57.360823905518,53.567375384894,36.4326852175996,398.970452584811
H0007,2023,5,652.443718264576,10.0216788572717,59.7904716929963,13.4975366739749,0.877899502022339,35.5624462939595,5.22574924807599,9.40806568953555,1.5,8.76,3,5,6,1000,1,2000,2,3,535.003848976952,29.8646029946698,138.115989610822,36.1733982862527,1.75579900404468,740.913638872741
H0008,2022,5,351.753833552374,19.6772840818422,2.09776397166389,1.88403233729363,7.37736801316448,1.54896552605342,0.15116426596944,6.98629339181251,1,5.41,3,4,10,1800,2,0,0,0,288.438143512947,58.6383065638898,4.84583477454359,5.04920666394693,14.754736026329,371.726227541656
H0009,2024,3,266.328764278189,17.5218067988903,41.233875510696,14.5729155313797,20.7016758062617,34.559533707093,14.4146427224126,0.663715246157505,2,10.62,2,3,1,1000,2,2500,2,0,218.389586708115,52.2149842606931,95.2502524297077,39.0554136240976,41.4033516125234,446.313588635137
H0010,2022,10,718.255586540073,14.7227002471303,23.012053160533,1.55804834913801,13.3356134098416,7.27717251076757,3.66654544402933,7.16909498251038,1.5,0.12,1,3,10,1000,2,2500,1,2,588.96958096286,43.8736467364484,53.1578428008312,4.17556957568987,26.6712268196833,716.847866895513
H0011,2022,10,331.88785530448,0.403651351421648,46.9015415007585,20.0605667089817,4.66320336269077,14.3782173687022,10.1321296419191,1.71825227541588,2,0.87,3,3,6,1000,2,2500,2,0,272.148041349673,1.20288102723651,108.342560866752,53.7623187800708,9.32640672538154,444.782208749114
H0012,2023,3,103.391763199522,23.4480958379837,21.1941588228245,2.51767141905077,9.64779378518777,30.6851291976666,12.8801385653237,5.92280871508879,1.5,1.05,2,5,1,1800,1,2500,2,1,84.7812458236083,69.8753255971913,48.9585068807246,6.74735940305607,19.2955875703756,229.658025274956
H0013,2023,10,641.886687665857,21.6286787566797,2.37482589137412,19.0518564473661,0.593361035369261,14.0903850227515,11.7591676177404,9.64206603721991,2,9.42,2,1,7,0,0,2000,1,0,526.347083886003,64.4534626949054,5.48584780907421,51.0589752789412,1.18672207073852,648.532091739662
H0014,2024,8,70.3346124754291,4.8462652963306,33.978083262757,30.803649556651,12.6609331396093,6.58781917790797,12.064264820102,2.84441424975075,2,2.82,1,5,8,1500,1,0,0,2,57.6743822298519,14.4418705830652,78.4893723369687,82.5537808118246,25.3218662792186,258.481272240929
H0015,2022,11,678.525153717675,8.12432590292461,37.3083668299492,6.47995917624386,12.7473879186532,21.4469821245994,3.35106028602751,6.14204569371293,1,1.57,1,1,9,1800,1,2000,2,1,556.390626048494,24.2104911907153,86.1823273771827,17.3662905923335,25.4947758373063,709.644511046031
H0016,2023,5,154.227375693393,26.0635515972267,9.76652349894532,12.0075923744558,13.3039204182416,27.6274369021722,9.32336074669101,6.10918661148438,2,11.17,3,3,2,1000,1,1500,1,2,126.466448068582,77.6693837597355,22.5606692825637,32.1803475635415,26.6078408364832,285.484689510906
H0017,2024,7,345.762784724103,20.1966458831789,3.74397522229312,23.2353858052479,13.0388564678892,26.1080858722029,11.5527053755027,7.17803321230423,0,0.63,1,5,0,0,0,2500,1,0,283.525483473765,60.186004731873,8.64858276349711,62.2708339580642,26.0777129357784,440.708617862977
H0018,2024,4,711.00816165756,13.9264857894352,50.5745509248261,3.46031876689932,22.7855755208036,6.40037563979383,2.58251504847282,9.54395471581347,1,8.18,0,3,9,0,0,2000,2,0,583.026692559199,41.500927652517,116.827212636348,9.27365429529017,45.5711510416072,796.199638184962
H0019,2023,9,752.4260299293,28.0757466414941,19.0644846765383,8.66291284491378,24.9375997827976,48.4004559040343,2.1951376193816,1.93708285729542,1,4.48,1,3,4,1000,1,0,0,0,616.989344542026,83.6657249916524,44.0389596028034,23.2166064243689,49.8751995655952,817.785835126446
H0020,2022,2,682.966585297532,24.0345532575536,34.2098616583173,13.8433791335666,10.7068936751236,26.6638317928825,2.76521241505845,4.4092330092198,0,4.28,1,3,4,1500,1,1500,1,0,560.032599943977,71.6229687075097,79.0247804307129,37.1002560779586,21.4137873502473,769.194392510405
H0021,2024,1,287.969140477202,21.1702809269137,0.185495545462477,30.6027255808328,1.21532016045635,33.4623763266538,8.5246578631664,0.46269514494108,2,1.9,2,3,10,0,0,1500,2,0,236.134695191306,63.0874371622029,0.428494710018323,82.015304556632,2.4306403209127,384.096571941071
H0022,2024,5,306.990142482368,13.0169759377334,43.8883424698483,37.2814088639368,21.8712554188687,47.4486374053939,12.4636078103235,9.49753882094251,1,11.9,3,1,1,1800,1,2500,1,3,251.731916835542,38.7905882944456,101.38207110535,99.9141757553507,43.7425108377374,535.561262828425
H0023,2022,11,446.00427672331,12.767265772121,32.1555510857058,13.921412018681,9.65041119994274,19.8063407129468,0.000563319799800066,6.79656139556861,1,5.66,2,5,6,1500,2,1500,1,2,365.723506913114,38.0464520009206,74.2793230079804,37.3093842100651,19.3008223998855,534.659488531966
H0024,2024,9,720.980310551055,23.0250187849138,0.888802128694541,29.2711396800147,11.0773497730663,38.5288704549564,3.69596908992378,9.7504360574301,2,2.67,1,3,10,1000,1,0,0,1,591.203854651865,68.6145559790431,2.05313291728439,78.4466543424393,22.1546995461327,762.472897436765
H0025,2022,8,658.951922046972,15.3880991512352,12.4367255650591,34.4602566626725,13.367833343923,32.759768234103,14.259462252292,3.20742127901539,1,8.42,1,5,0,1000,1,2500,1,1,540.340576078517,45.8565354706809,28.7288360552864,92.3534878559623,26.7356666878461,734.015102148293
H0026,2024,2,278.855432014653,26.6462350384495,46.9758689159835,27.1186053632553,20.3666569437225,17.4162732185073,8.85504546384629,4.4623316010551,2,3.83,0,5,6,1800,2,0,0,0,228.661454252015,79.4057804145796,108.514257195922,72.6778623735242,40.7333138874451,529.992668123486
H0027,2022,4,212.792114586602,27.5538022547718,3.95830047632568,22.5251824184205,15.4544492455182,33.5462272028413,14.0638111829206,3.23026068802249,1.5,10.55,2,4,1,0,0,2500,2,1,174.489533961014,82.1103307192198,9.14367410031232,60.3674888813669,30.9088984910363,357.019926152949
H0028,2023,11,279.950827018996,26.0763172146396,11.7883749740804,11.8977283655918,3.44217376205012,10.3346227364969,4.82799058382405,3.54377659154551,2,3.7,2,1,2,0,0,1500,2,1,229.559678155577,77.707425299626,27.2311461901258,31.885912019786,6.88434752410024,373.268509189215
H0029,2022,1,171.668398670965,14.6264362900842,24.8035313528138,17.8406816446361,16.7397724828049,32.9396159562167,12.2741994049115,9.9586696050547,2,4.94,3,2,9,1800,1,0,0,1,140.768086910191,43.5867801444509,57.296157425,47.8130268076246,33.4795449656099,322.943596252877
H0030,2024,7,647.474174964814,0.257181836274569,36.7936716789901,17.1414323513389,18.5152569340116,44.0470510089593,0.857612289837779,1.7801163109274,0,2.89,3,4,0,1000,1,2000,2,1,530.928823471148,0.766401872098216,84.9933815784671,45.9390387015882,37.0305138680231,699.658159491324
H0031,2023,9,710.86578748267,25.2458811087929,54.432456453415,16.5520177963428,3.88157594194799,3.60387206195841,0.459544380628002,8.68734209861332,0,10.28,1,3,9,0,0,2500,1,2,582.909945735789,75.2327257042029,125.738974407389,44.3594076941987,7.76315188389598,836.004205425476
H0032,2022,10,451.206158763813,3.72260693907563,18.0634080393827,30.6008610788462,16.1207011637629,9.95678032731654,10.9524260993943,3.9432354915943,2,5.95,2,4,5,0,0,2500,2,3,369.989050186327,11.0933686784454,41.726472570974,82.0103076913077,32.2414023275259,537.06060145458
H0033,2023,12,194.295544482546,14.4859752785965,51.5841339205079,37.4673560470986,9.93978287957943,45.6614734822196,0.850093572248303,3.67871227928928,1.5,0.22,1,3,10,1500,2,1500,2,1,159.322346475688,43.1682063302175,119.159349356373,100.412514206224,19.8795657591589,441.941982127661
H0034,2024,10,266.91462549401,12.8990847795314,11.9337282665787,0.649526597319552,18.2304919400192,35.3063682336176,13.3677955102841,4.28544448887585,0,10.9,0,4,1,1800,1,2500,2,0,218.869992905088,38.4392726430035,27.5669122957968,1.7407312808164,36.4609838800384,323.077893004744
H0035,2024,11,740.934940825813,27.714210096587,49.7755605838271,5.36351396154861,6.38348341612255,23.9807864066839,3.37076527777465,5.83284682484486,1.5,3.55,3,2,3,1800,2,0,0,0,607.566651477167,82.5883460878293,114.981544948641,14.3742174169503,12.7669668322451,832.277726762832
H0036,2023,9,716.02472699295,14.8945766338871,49.9437443216391,10.3958510244094,4.00153400143596,33.5387563531715,4.27061017271699,7.33747226440434,1,9.14,1,1,6,1800,1,0,0,1,587.140276134219,44.3858383689836,115.370049382986,27.8608807454173,8.00306800287191,782.760112634478
H0037,2022,1,720.500044837963,20.9724084471693,11.8358328831148,32.5465792979739,17.4130245963656,5.01586420002083,7.90429382722882,4.74677519455843,0,9.64,2,2,4,1000,1,2000,2,1,590.810036767129,62.4977771725646,27.3407739599952,87.22483251857,34.8260491927313,802.699469610991
H0038,2022,1,484.463910606864,23.7495639889627,48.4463812807452,11.5589019818542,10.5783504681233,29.3000312777862,9.14917747937183,9.09333912275199,1,7.27,0,2,4,0,0,1500,1,2,397.260406697629,70.7737006871087,111.911140758521,30.9778573113692,21.1567009362467,632.079806390874
